#Table1
objid,ra,dec,spiral,elliptical,uncertain,nvote,p_cs_debiased,p_el_debiased,p_mg,p_edge,p_acw,p_cw,p_dk,petroRad_g,petroRad_i,petroRad_r
1237648702978326816,210.5172,-1.207861,0,0,1,66,0.73199999332428,0.167999997735024,0,0.591000020503998,0.0149999996647239,0,0.090999998152256,6.105614,6.107309,6.139036
1237655499741069577,210.2635,-1.462167,0,0,1,58,0.908999979496002,0.0719999969005585,0,0.551999986171722,0.0689999982714653,0.155000001192093,0.017000000923872,9.520009,8.674244,8.89357
1237666229137375388,330.6056,-7.263111,0,0,1,26,0.919000029563904,0.0810000002384186,0,0.731000006198883,0,0.0379999987781048,0,8.800975,7.829112,8.310508
1237680240901554415,332.2926,-7.572889,0,0,1,41,0.850000023841858,0.0670000016689301,0,0.683000028133392,0.0240000002086163,0,0.0729999989271164,6.431072,6.080081,6.084418
1237674655290097926,216.7451,-2.396945,0,0,1,35,0.629000008106232,0.370999991893768,0,0.629000008106232,0,0,0,4.728044,4.324548,4.488016
1237674654752768216,215.5816,-2.210667,0,0,1,30,0.819999992847443,0.068000003695488,0.100000001490116,0.566999971866608,0,0.133000001311302,0,8.279227,7.961636,8.287483
1237674654216356032,216.2464,-3.067028,0,0,1,33,0.787999987602234,0.0610000006854534,0.151999995112419,0.635999977588654,0,0.151999995112419,0,21.95635,19.01225,18.47186
1237668350288986349,227.9942,13.60444,0,0,1,26,0.537999987602234,0.423000007867813,0,0.5,0.0379999987781048,0,0.0379999987781048,3.728863,3.204054,3.352154
1237668350287741144,225.0476,14.00867,0,0,1,56,0.777999997138977,0.162000000476837,0,0.53600001335144,0.0710000023245811,0.0179999992251396,0.0540000014007092,5.085785,4.906697,5.047782
1237668350285709456,220.384,14.87406,0,0,1,47,0.934000015258789,0.0659999996423721,0,0.702000021934509,0,0,0,7.030727,68.29903,6.960717
1237668349213933749,224.8103,13.32883,0,0,1,65,0.731000006198883,0.122000001370907,0.108000002801418,0.523000001907349,0.0149999996647239,0.0149999996647239,0.0149999996647239,6.876963,6.449849,6.65399
