#Table1
objid,ra,dec,spiral,elliptical,uncertain,nvote,p_cs_debiased,p_el_debiased,p_mg,p_edge,p_acw,p_cw,p_dk,petroRad_g,petroRad_i,petroRad_r
1237648674511650857,197.0523,0.2787778,0,0,1,33,0.170000001788139,0.708000004291534,0,0,0.0299999993294477,0,0.0610000006854534,4.221828,4.164846,3.696172
1237648674511651055,197.1575,0.2228056,0,0,1,41,0.301999986171722,0.575999975204468,0,0.0979999974370003,0.0489999987185001,0,0.0979999974370003,3.483346,3.162484,3.316144
1237648674511716495,197.2422,0.3101389,0,0,1,55,0.27700001001358,0.388999998569489,0.0179999992251396,0.0549999997019768,0.0179999992251396,0.0359999984502792,0.181999996304512,4.222838,4.498726,4.352087
1237648674511716531,197.271,0.3480555,0,0,1,23,0.333999991416931,0.503000020980835,0,0,0.0430000014603138,0.129999995231628,0.129999995231628,3.522914,4.283578,4.109293
1237648674511847548,197.5515,0.3028055,0,0,1,28,0.291999995708466,0.0890000015497208,0.46399998664856,0.179000005125999,0.0710000023245811,0,0.10700000077486,4.109993,3.612813,3.979409
1237648674512109698,198.0887,0.3079167,0,0,1,28,0.717000007629395,0.0850000008940697,0.0710000023245811,0.321000009775162,0.214000001549721,0.0710000023245811,0.10700000077486,5.735122,5.402924,5.658027
1237648674512109722,198.1108,0.4102778,0,0,1,60,0.699999988079071,0.17399999499321,0,0.232999995350838,0.25,0,0.100000001490116,3.526964,3.571927,3.586249
1237648702972559538,197.3532,-1.065889,0,0,1,32,0.598999977111816,0.0829999968409538,0,0.312000006437302,0.125,0,0.25,5.298822,4.69199,5.078377
1237648702972690583,197.608,-1.216778,0,0,1,61,0.27700001001358,0.666999995708466,0,0.130999997258186,0.0160000007599592,0,0.0489999987185001,3.467593,3.129996,3.275128
1237648702972690608,197.6631,-1.109806,0,0,1,31,0.642000019550323,0.0850000008940697,0.0320000015199184,0.257999986410141,0.128999993205071,0.0320000015199184,0.160999998450279,4.182787,3.787133,3.828288
