#Table1
objid,ra,dec,spiral,elliptical,uncertain,nvote,p_cs_debiased,p_el_debiased,p_mg,p_edge,p_acw,p_cw,p_dk,petroRad_g,petroRad_i,petroRad_r
1237648720141746455,145.2074,-0.8630834,0,1,0,57,0,0.947000026702881,0,0,0,0,0.0529999993741512,5.754255,5.811306,6.189985
1237648720142008580,145.8181,-0.8789722,0,1,0,46,0,0.870000004768372,0,0,0,0,0.129999995231628,4.887923,4.989563,5.040677
1237648720142663798,147.2049,-0.8874444,0,1,0,24,0.136000007390976,0.822000026702881,0,0.0829999968409538,0.0419999994337559,0,0.0419999994337559,4.548275,3.959877,4.448715
1237648720142729396,147.4081,-0.8870278,0,1,0,25,0.120999999344349,0.837999999523163,0,0.0399999991059303,0,0.0399999991059303,0.0399999991059303,2.868751,2.65243,2.792385
1237648720142860587,147.7086,-0.8877222,0,1,0,52,0.0780000016093254,0.843999981880188,0.0189999993890524,0.0189999993890524,0.0189999993890524,0.0189999993890524,0.0579999983310699,6.31908,5.676167,6.615196
1237648720143122615,148.385,-0.9414722,0,1,0,39,0.0270000007003546,0.947000026702881,0,0,0.0260000005364418,0,0.0260000005364418,3.949541,3.821151,3.816362
1237648720678879348,145.722,-0.5271667,0,1,0,36,0.128999993205071,0.77700001001358,0,0.0280000008642673,0.0280000008642673,0,0.0829999968409538,3.632164,3.171862,3.162439
1237648721215881342,146.0573,-0.09702778,0,1,0,60,0.0520000010728836,0.915000021457672,0,0.0329999998211861,0.017000000923872,0,0.0329999998211861,5.317516,4.907863,4.998258
1237648721215946868,146.1656,-0.06416667,0,1,0,32,0.0939999967813492,0.875,0,0.061999998986721,0,0.0309999994933605,0.0309999994933605,2.675016,2.406764,2.521123
1237648721216078045,146.4689,-0.09283333,0,1,0,35,0,1,0,0,0,0,0,20.14094,19.78339,19.43667
1237648721216209055,146.812,-0.1900555,0,1,0,24,0.0829999968409538,0.916999995708466,0,0.0829999968409538,0,0,0,4.893668,4.518687,4.522445
1237648721216864397,148.346,-0.166,0,1,0,33,0.0649999976158142,0.875,0,0.0299999993294477,0.0299999993294477,0,0.0610000006854534,3.869058,3.782701,3.777896
1237648721217126671,148.9536,-0.09713889,0,1,0,61,0.0890000015497208,0.91100001335144,0,0.0329999998211861,0,0.0160000007599592,0,15.44299,14.45701,15.14887
1237648721217257621,149.1699,-0.02333333,0,1,0,40,0,0.975000023841858,0,0,0,0,0.025000000372529,8.38043,8.125821,8.185708
1237648721752752319,146.0787,0.2127778,0,1,0,22,0.0780000016093254,0.921999990940094,0,0.0450000017881393,0,0,0,5.682292,5.41289,5.467251
1237648721752752343,146.1444,0.2431111,0,1,0,55,0.108999997377396,0.818000018596649,0,0.0359999984502792,0.0179999992251396,0.0549999997019768,0.0729999989271164,4.802479,4.449846,4.2752
1237648721753538850,147.8952,0.2556389,0,1,0,58,0.0189999993890524,0.947000026702881,0,0.017000000923872,0,0,0.034000001847744,4.741655,4.662103,4.661143
1237648721753669945,148.2334,0.3577222,0,1,0,34,0.0590000003576279,0.882000029087067,0,0.0590000003576279,0,0,0.0590000003576279,2.968994,13.15166,11.45465
