#Table1
objid,ra,dec,spiral,elliptical,uncertain,nvote,p_cs_debiased,p_el_debiased,p_mg,p_edge,p_acw,p_cw,p_dk,petroRad_g,petroRad_i,petroRad_r
1237648720144629984,151.761,-0.9974722,1,0,0,67,0.916000008583069,0.0500000007450581,0.0149999996647239,0.745999991893768,0,0.0149999996647239,0.0149999996647239,8.453086,7.434488,7.519304
1237648720145416617,153.5855,-0.9954444,1,0,0,58,0.944000005722046,0.0189999993890524,0,0.845000028610229,0,0.034000001847744,0.034000001847744,7.75447,6.83155,7.257735
1237648720681828464,152.4638,-0.5466111,1,0,0,38,0.91100001335144,0.0579999983310699,0.0260000005364418,0.605000019073486,0.0790000036358833,0.0529999993741512,0,7.42241,6.740183,7.056125
1237648720682614955,154.3628,-0.4956111,1,0,0,57,0.845000028610229,0.155000001192093,0,0.842000007629395,0,0,0,9.443135,8.540074,8.424354
1237648720682877113,154.9738,-0.6208889,1,0,0,18,0.736999988555908,0.129999995231628,0,0.555999994277954,0,0,0.111000001430511,3.328219,3.375986,3.294439
1237648721218568482,152.2803,-0.03277778,1,0,0,30,0.921999990940094,0.0370000004768372,0,0.732999980449677,0,0,0.0329999998211861,4.539935,4.143191,4.184438
1237648721218699400,152.463,-0.1219167,1,0,0,34,0.985000014305115,0.0149999996647239,0,0.912000000476837,0,0.0590000003576279,0,12.78869,10.92657,11.60036
1237648721219027074,153.3072,-0.08908334,1,0,0,35,0.830999970436096,0.0659999996423721,0.028999999165535,0.542999982833862,0.114000000059605,0,0.0570000000298023,5.441967,5.327557,5.384303
1237648721219027185,153.3236,-0.08116667,1,0,0,29,0.879999995231628,0.119999997317791,0,0.517000019550323,0.034000001847744,0.034000001847744,0,3.392993,3.292104,3.316994
1237648721219092700,153.3853,-0.03655555,1,0,0,56,0.839999973773956,0.159999996423721,0,0.66100001335144,0.0179999992251396,0,0,3.44339,3.08698,3.327752
1237648721219158138,153.4968,-0.06094445,1,0,0,29,0.975000023841858,0.025000000372529,0,0.828000009059906,0.034000001847744,0,0,6.321873,5.971723,6.310336
1237648721219485839,154.3351,-0.1500556,1,0,0,29,0.89300000667572,0.10700000077486,0,0.517000019550323,0.034000001847744,0.034000001847744,0,5.614602,5.611907,5.66576
1237648721219485850,154.3528,-0.1410556,1,0,0,64,0.930000007152557,0.0700000002980232,0,0.640999972820282,0.0309999994933605,0.0309999994933605,0,5.941011,4.873012,5.108737
1237648721219682357,154.7494,-0.1825278,1,0,0,21,0.930999994277954,0.0689999982714653,0,0.810000002384186,0,0,0,7.657246,7.155025,7.257815
1237648721219879116,155.2481,-0.1760833,1,0,0,28,0.841000020503998,0.120999999344349,0,0.64300000667572,0,0.10700000077486,0.0359999984502792,8.844076,8.43424,8.62246
1237648721755570371,152.4394,0.3957778,1,0,0,62,0.721000015735626,0.229000002145767,0,0.629000008106232,0,0,0.0480000004172325,3.230994,3.199915,3.285098
1237648721756094689,153.7664,0.3522222,1,0,0,48,0.912999987602234,0.0869999974966049,0,0.688000023365021,0,0.0419999994337559,0,7.365972,6.916607,6.966027
1237648721756160183,153.9005,0.35875,1,0,0,33,0.984000027179718,0.0160000007599592,0,0.879000008106232,0,0,0,6.821065,6.255185,6.517637
1237648721756422316,154.4549,0.2688056,1,0,0,21,0.907000005245209,0.0390000008046627,0.0480000004172325,0.71399998664856,0.0480000004172325,0,0,6.262611,5.341686,5.736678
1237648721756487831,154.5569,0.3466944,1,0,0,44,0.533999979496002,0.398000001907349,0.0230000000447035,0.523000001907349,0,0,0.0450000017881393,2.586302,2.502998,2.659844
1237648721756487896,154.6098,0.2706389,1,0,0,53,0.981000006198883,0,0,0.981000006198883,0,0,0.0189999993890524,11.07446,8.049832,8.839092
1237648722292310188,152.1741,0.6945,1,0,0,25,0.823000013828278,0.0810000002384186,0,0.600000023841858,0,0.0399999991059303,0.0799999982118607,3.715039,3.454669,3.535049
1237648722293162173,154.1744,0.7460555,1,0,0,28,0.813000023365021,0.028999999165535,0.0710000023245811,0.71399998664856,0,0,0.0710000023245811,8.555652,6.548785,7.223016
1237648722829050034,151.8582,1.175944,1,0,0,32,0.976999998092651,0.0230000000447035,0,0.688000023365021,0.187999993562698,0.0309999994933605,0,8.96654,7.652977,7.776771
1237648722829312116,152.4432,1.162639,1,0,0,27,0.933000028133392,0.028999999165535,0,0.888999998569489,0,0,0.0370000004768372,6.837214,6.256806,6.449973
1237651752387739852,152.5847,0.9583055,1,0,0,23,0.739000022411346,0.261000007390976,0,0.739000022411346,0,0,0,2.831616,2.737806,2.723538
1237651800161517722,152.6649,-0.7286944,1,0,0,26,0.982999980449677,0.017000000923872,0,0.768999993801117,0,0.153999999165535,0,7.375529,6.13052,6.53414
1237651800162238663,154.266,-0.6319444,1,0,0,55,0.810000002384186,0.189999997615814,0,0.745000004768372,0,0,0,4.504298,4.194261,4.272007
1237651800698257726,152.3943,-0.2664444,1,0,0,35,0.910000026226044,0.0590000003576279,0.028999999165535,0.800000011920929,0,0,0,6.178869,5.701931,6.250416
1237651800698323064,152.499,-0.21625,1,0,0,49,0.944999992847443,0.0549999997019768,0,0.735000014305115,0,0,0,6.817312,6.145332,6.511117
1237651801235521713,153.2887,0.1007222,1,0,0,37,0.936999976634979,0.063000001013279,0,0.648999989032745,0,0,0,5.294071,4.40007,4.611031
1237651801235980525,154.3742,0.2006111,1,0,0,38,0.982999980449677,0.017000000923872,0,0.921000003814697,0,0.0260000005364418,0,9.4549,9.427736,9.248347
1237651801235980544,154.2565,0.1036944,1,0,0,56,0.957000017166138,0.0240000002086163,0,0.85699999332428,0,0,0.0179999992251396,5.706546,5.334997,5.550206
1237651801236177027,154.7125,0.2035833,1,0,0,53,0.651000022888184,0.28999999165535,0,0.527999997138977,0.0189999993890524,0,0.0570000000298023,3.004563,3.005738,2.796596
1237651801771868399,151.9842,0.6234167,1,0,0,19,0.878000020980835,0.0579999983310699,0,0.632000029087067,0,0.0529999993741512,0.0529999993741512,6.560539,5.886718,6.110618
1237651801771933922,152.1784,0.6171389,1,0,0,24,0.892000019550323,0.0160000007599592,0,0.75,0,0.0419999994337559,0.0829999968409538,5.675717,4.490945,4.898588
1237651801772523868,153.4953,0.5679167,1,0,0,32,1,0,0,0.938000023365021,0.0309999994933605,0.0309999994933605,0,2.969255,7.642793,7.234664
1237651801772654990,153.8781,0.58125,1,0,0,44,0.955999970436096,0.0189999993890524,0,0.864000022411346,0,0,0.0230000000447035,7.551913,5.942213,6.637828
1237651801772720396,154.0391,0.6270278,1,0,0,32,0.857999980449677,0.101999998092651,0,0.531000018119812,0.0309999994933605,0.061999998986721,0.0309999994933605,4.229732,3.937987,4.082642
1237654669736673344,152.4262,-0.3676944,1,0,0,37,0.907000005245209,0.0930000022053719,0,0.513999998569489,0.0270000007003546,0.243000000715256,0,8.799845,7.667672,7.680911
1237654669736738929,152.5922,-0.3763056,1,0,0,23,0.943000018596649,0.0570000000298023,0,0.782999992370605,0,0,0,6.498453,6.731952,6.698618
1237654669737328762,153.9375,-0.3716944,1,0,0,30,0.972000002861023,0.0280000008642673,0,0.833000004291534,0,0,0,6.969029,5.880375,6.084099
1237654670274003129,153.5665,0.07505555,1,0,0,29,0.878000020980835,0.0740000009536743,0,0.586000025272369,0,0,0.034000001847744,4.428895,3.980782,4.421662
1237654670274396266,154.4147,0.03461111,1,0,0,32,0.994000017642975,0.00600000005215406,0,0.968999981880188,0,0,0,5.402784,4.290466,4.713134
1237654670274461978,154.6283,0.08472222,1,0,0,51,0.903999984264374,0.0750000029802322,0,0.745000004768372,0.0390000008046627,0,0.0199999995529652,5.360144,3.658559,4.286903
1237654670811005047,153.771,0.4573889,1,0,0,23,0.972000002861023,0.0280000008642673,0,0.912999987602234,0,0,0,6.178441,5.461102,5.524755
1237651211211571386,253.3219,62.37639,1,0,0,63,0.734000027179718,0.248999997973442,0,0.523999989032745,0.0160000007599592,0.0320000015199184,0.0160000007599592,10.91746,8.481091,8.866715
1237651211212488910,254.9878,60.44181,1,0,0,62,0.952000021934509,0.0309999994933605,0,0.823000013828278,0.0320000015199184,0.0320000015199184,0.0160000007599592,7.618336,7.408038,7.322628
1237651211748901093,255.0009,61.555,1,0,0,53,0.96399998664856,0.0160000007599592,0,0.565999984741211,0,0.340000003576279,0.0189999993890524,5.137782,4.814914,5.084828
1237651211748966630,255.0033,61.37366,1,0,0,25,0.961000025272369,0.0390000008046627,0,0.680000007152557,0,0.0399999991059303,0,5.829545,5.14291,5.429151
1237651211749425315,255.814,60.33775,1,0,0,31,0.83899998664856,0.160999998450279,0,0.805999994277954,0.0320000015199184,0,0,31.09296,25.8644,27.49722
1237651212285640928,255.5502,61.95856,1,0,0,38,0.936999976634979,0.00899999961256981,0,0.867999970912933,0.0529999993741512,0,0.0529999993741512,9.133422,8.335311,8.574509
1237651212285706517,255.7875,61.78983,1,0,0,58,0.995000004768372,0.00499999988824129,0,0.948000013828278,0,0,0,6.573787,4.518672,5.277732
1237651212285772042,255.7088,61.65805,1,0,0,40,0.976000010967255,0.0240000002086163,0,0.850000023841858,0,0,0,7.018162,5.822197,6.348596
1237651212285903151,255.9083,61.41778,1,0,0,30,0.819000005722046,0.180999994277954,0,0.633000016212463,0,0,0,9.080845,8.500085,8.707154
1237651212285968647,256.0699,61.32006,1,0,0,37,0.916000008583069,0.0839999988675117,0,0.595000028610229,0,0,0,5.565043,5.13596,5.422204
