#Table1
objid,ra,dec,spiral,elliptical,uncertain,nvote,p_cs_debiased,p_el_debiased,p_mg,p_edge,p_acw,p_cw,p_dk,petroRad_g,petroRad_i,petroRad_r
1237648720142336185,146.5128,-0.8457778,1,0,0,37,1,0,0,0,0.97299998998642,0.0270000007003546,0,9.404356,9.316997,9.461358
1237648720142925946,147.8075,-0.8846111,1,0,0,58,0.966000020503998,0,0.034000001847744,0,0,0.966000020503998,0,10.05158,9.622113,9.945038
1237648720678944894,145.8745,-0.60875,1,0,0,30,0.944999992847443,0.0549999997019768,0,0.0329999998211861,0.833000004291534,0.0329999998211861,0,10.06478,9.566997,9.828067
1237648720678944999,145.8911,-0.4670556,1,0,0,25,0.870000004768372,0.129999995231628,0,0,0,0.839999973773956,0,7.845385,6.966079,7.29363
1237648721215750297,145.7447,-0.07636111,1,0,0,61,0.884999990463257,0,0.0820000022649765,0.0659999996423721,0.802999973297119,0.0160000007599592,0.0329999998211861,12.52441,11.75293,11.85305
1237648721215946942,146.2998,-0.12,1,0,0,63,0.925999999046326,0.0740000009536743,0,0.063000001013279,0.0320000015199184,0.824999988079071,0,12.49428,10.78909,11.49119
1237648721216143430,146.6036,-0.1914722,1,0,0,32,0.919000029563904,0.0480000004172325,0,0.061999998986721,0,0.781000018119812,0.0309999994933605,6.197644,5.865078,6.039515
1237648721216733511,148.0848,-0.1466667,1,0,0,32,0.906000018119812,0.061999998986721,0,0,0.906000018119812,0,0.0309999994933605,10.10394,8.985301,9.846283
1237648721216798768,148.183,-0.05830555,1,0,0,62,0.968999981880188,0.0140000004321337,0.0160000007599592,0,0.0160000007599592,0.952000021934509,0,10.43726,10.21273,10.15933
1237648721217716376,150.2082,-0.1491667,1,0,0,23,0.957000017166138,0,0.0430000014603138,0.0430000014603138,0,0.912999987602234,0,8.351339,8.565106,8.375134
1237648721752883489,146.4118,0.2153611,1,0,0,24,0.991999983787537,0.00800000037997961,0,0.0829999968409538,0.875,0,0,6.428894,6.337069,6.383369
1237648721753080096,146.8878,0.2174444,1,0,0,52,0.91100001335144,0.0109999999403954,0.0769999995827675,0.096000000834465,0.768999993801117,0.0189999993890524,0,6.93147,6.117276,6.555428
1237648721753931939,148.7298,0.3786389,1,0,0,25,1,0,0,0.0399999991059303,0.920000016689301,0.0399999991059303,0,11.19402,11.62074,11.308
1237648721754587278,150.2995,0.3293333,1,0,0,50,0.959999978542328,0.0399999991059303,0,0,0,0.959999978542328,0,10.84979,11.36083,11.02224
1237648721754587405,150.2572,0.2146111,1,0,0,32,0.976000010967255,0.0240000002086163,0,0.0309999994933605,0.906000018119812,0,0,9.160703,8.284956,8.786139
