#Table1
objid,ra,dec,spiral,elliptical,uncertain,nvote,p_cs_debiased,p_el_debiased,p_mg,p_edge,p_acw,p_cw,p_dk,petroRad_g,petroRad_i,petroRad_r
1237648721215553734,145.3443,-0.01694444,0,0,1,24,0.370000004768372,0.561999976634979,0,0.0829999968409538,0,0.0419999994337559,0.0419999994337559,5.230438,4.890234,4.895992
1237648721217519859,149.845,-0.01638889,1,0,0,73,0.871999979019165,0.0130000002682209,0.109999999403954,0.164000004529953,0.0270000007003546,0.629999995231628,0,6.361,5.168183,5.4738
1237648721217519847,149.838,-0.09963889,0,1,0,30,0.211999997496605,0.670000016689301,0,0.0329999998211861,0.0670000016689301,0,0.100000001490116,3.08412,3.187721,3.150536
1237648721217519837,149.8243,-0.1125833,0,0,1,26,0.479999989271164,0.354999989271164,0,0.0379999987781048,0.0769999995827675,0.0379999987781048,0.0769999995827675,4.063423,3.845741,3.854558
1237648721217519819,149.8071,-0.1243333,0,1,0,54,0,0.962999999523163,0.0189999993890524,0,0,0,0.0189999993890524,7.097736,5.689935,5.908784
1237648721217519812,149.8012,-0.1401667,0,0,1,52,0.663999974727631,0.0610000006854534,0.211999997496605,0.384999990463257,0.096000000834465,0.096000000834465,0.0379999987781048,5.285006,5.533972,5.183157
1237648721217519796,149.7941,-0.1999722,1,0,0,40,0.78600001335144,0.136999994516373,0,0.449999988079071,0,0,0.0500000007450581,5.608037,4.347956,4.614944
1237648721217519783,149.775,-0.1465833,0,1,0,37,0.0860000029206276,0.830999970436096,0,0.0540000014007092,0,0,0.0810000002384186,3.419479,3.771865,3.364718
1237648721217519763,149.7707,-0.2033056,0,0,1,21,0.233999997377396,0.662999987602234,0,0.14300000667572,0,0,0.0949999988079071,4.971481,4.856549,5.145267
1237648721217454285,149.6537,-0.02855556,0,1,0,28,0.11599999666214,0.88400000333786,0,0.0710000023245811,0,0,0,3.672828,4.086493,3.954545
1237648721217323196,149.2995,-0.1594445,1,0,0,59,0.535000026226044,0.419999986886978,0,0.270999997854233,0.017000000923872,0,0.034000001847744,3.008447,2.889388,2.905893
1237648721217257701,149.255,-0.1600278,0,0,1,29,0.46900001168251,0.270999997854233,0,0.207000002264977,0,0.034000001847744,0.172000005841255,3.740299,3.246167,3.437492
1237648721217257691,149.2348,-0.07405555,0,0,1,59,0.624000012874603,0.282999992370605,0,0.119000002741814,0.237000003457069,0,0.068000003695488,5.603007,5.752915,5.626683
1237648721217257674,149.2189,-0.08486111,0,0,1,31,0.275000005960464,0.665000021457672,0,0,0,0.0649999976158142,0.0320000015199184,9.365459,8.07268,8.863155
1237648721217257621,149.1699,-0.02333333,0,1,0,40,0,0.975000023841858,0,0,0,0,0.025000000372529,8.38043,8.125821,8.185708
1237648721217257601,149.1546,-0.1157222,1,0,0,31,0.919000029563904,0.0419999994337559,0,0.418999999761581,0.323000013828278,0,0.0320000015199184,5.645875,5.005661,5.290061
